
 ⛅️ wrangler 4.60.0
───────────────────
✨ Compiled Worker successfully
✨ Parsed 6 valid header rules.
⎔ Starting local server...
[wrangler:info] Ready on http://localhost:8791
[wrangler:info] GET / 200 OK (14ms)
[wrangler:info] GET /about-avir 200 OK (7ms)
[wrangler:info] GET /css/avir-site.shared.15a241810.css 200 OK (8ms)
[wrangler:info] GET /images/5dee5ff86a04c463ac5126f1_5e5d861373b92cc146460ff9_Full%20Logo%20in%20white.svg 200 OK (17ms)
[wrangler:info] GET /js/avir-site.schunk.36b8fb49256177c8.js 200 OK (13ms)
[wrangler:info] GET /js/avir-site.schunk.7f856e1c6c8f1316.js 200 OK (47ms)
[wrangler:info] GET /js/avir-site.e8a9375c.3804331ef231f6e4.js 200 OK (43ms)
[wrangler:info] GET /images/61aeaa63fc373a25c198ab33_6375d62b597feaaa92009bc5_AVIR%20logo%20website%20Final.svg 200 OK (6ms)
[wrangler:info] GET /images/61aeaa63fc373a25c198ab33_622dcbe20434a82a5cb8e04b_BH15%20Optimized-p-2000.jpeg 200 OK (11ms)
[wrangler:info] GET /blog 200 OK (6ms)
[wrangler:info] GET /images/61d85621390c3d3f845db5b4_6977eb24a0f9ecb7d8480cc5_Screenshot%202026-01-26%20at%202.30.38%E2%80%AFPM.png 200 OK (7ms)
[wrangler:info] GET /images/61d85621390c3d3f845db5b4_6967eda1e600ccd361488dcb_Screenshot%202026-01-14%20at%2011.22.55%E2%80%AFAM-p-500.png 200 OK (8ms)
[wrangler:info] GET /images/61d85621390c3d3f845db5b4_69617a33e73b0be22c9dbd79_Screenshot%202026-01-09%20at%2012.48.49%E2%80%AFPM-p-500.png 200 OK (57ms)
[wrangler:info] GET /images/61d85621390c3d3f845db5b4_6954863f7da40f20f7a8fb86_Screenshot%202025-12-30%20at%206.10.41%E2%80%AFPM-p-500.png 200 OK (58ms)
[wrangler:info] GET /images/61d85621390c3d3f845db5b4_695480e08fefbc2994745413_Screenshot%202025-12-30%20at%205.47.48%E2%80%AFPM-p-500.png 200 OK (63ms)
[wrangler:info] GET /images/61d85621390c3d3f845db5b4_69437def72a31f1860cda19c_Screenshot%202025-12-17%20at%208.06.46%E2%80%AFPM-p-500.png 200 OK (66ms)
